University Label,University ID,Neighbor Label,Neighbor ID,degree_centrality
Nanjing University of Science & Technology,42,Beijing Institute of Technology,2,0.5502260664438766
Nanjing University of Science & Technology,42,Northwestern Polytechnical University,29,0.5421663062708866
Nanjing University of Science & Technology,42,Beihang University,18,0.5378415569097701
Nanjing University of Science & Technology,42,Chinese Academy of Sciences,12,0.46609003341851785
Nanjing University of Science & Technology,42,Nanjing University of Aeronautics & Astronautics,233,0.4080990760762729
Nanjing University of Science & Technology,42,Harbin Institute of Technology,98,0.32533909966581487
Nanjing University of Science & Technology,42,Harbin Engineering University,211,0.2989974444662866
Nanjing University of Science & Technology,42,Tsinghua University,24,0.2976213878513859
Nanjing University of Science & Technology,42,Peking University,35,0.27816001572636134
Nanjing University of Science & Technology,42,Shanghai Jiao Tong University,122,0.26656182425791236
Nanjing University of Science & Technology,42,University of California System,827,0.2636131315116965
Nanjing University of Science & Technology,42,Centre National de la Recherche Scientifique (CNRS),454,0.2604678592490663
Nanjing University of Science & Technology,42,Zhejiang University,129,0.2604678592490663
Nanjing University of Science & Technology,42,Nanjing University,372,0.24926282681344605
Nanjing University of Science & Technology,42,N8 Research Partnership,837,0.24690387261647337
Nanjing University of Science & Technology,42,Sun Yat Sen University,181,0.24434833890308633
Nanjing University of Science & Technology,42,Southeast University - China,410,0.2406133280912129
Nanjing University of Science & Technology,42,UDICE-French Research Universities,1415,0.23805779437782584
Nanjing University of Science & Technology,42,University of Chinese Academy of Sciences CAS,830,0.23432278356595243
Nanjing University of Science & Technology,42,United States Department of Energy (DOE),902,0.22645960290937686
Nanjing University of Science & Technology,42,University of Science & Technology of China CAS,983,0.22645960290937686
Nanjing University of Science & Technology,42,Shandong University,148,0.22488696677806175
Nanjing University of Science & Technology,42,University of London,824,0.22351091016316102
Nanjing University of Science & Technology,42,National University of Singapore,96,0.21957931983487322
Nanjing University of Science & Technology,42,Huazhong University of Science & Technology,138,0.21859642225280126
Nanjing University of Science & Technology,42,Fudan University,246,0.21722036563790054
Nanjing University of Science & Technology,42,University of Cambridge,617,0.21702378612148615
Nanjing University of Science & Technology,42,City University of Hong Kong,108,0.21269903676036958
Nanjing University of Science & Technology,42,Helmholtz Association,967,0.20994692353056812
Nanjing University of Science & Technology,42,Wuhan University,265,0.20994692353056812
Nanjing University of Science & Technology,42,Swiss Federal Institutes of Technology Domain,871,0.20758796933359544
Nanjing University of Science & Technology,42,Dalian University of Technology,72,0.2066050717515235
Nanjing University of Science & Technology,42,Beijing Normal University,285,0.20404953803813644
Nanjing University of Science & Technology,42,University of Texas System,832,0.19972478867701987
Nanjing University of Science & Technology,42,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.19952820916060549
Nanjing University of Science & Technology,42,State University System of Florida,844,0.19520345979948892
Nanjing University of Science & Technology,42,Xiamen University,26,0.19304108511893062
Nanjing University of Science & Technology,42,Max Planck Society,118,0.1914684489876155
Nanjing University of Science & Technology,42,East China Normal University,582,0.19028897188912916
Nanjing University of Science & Technology,42,Hunan University,157,0.18871633575781405
Nanjing University of Science & Technology,42,Harvard University,580,0.1879300176921565
Nanjing University of Science & Technology,42,University System of Georgia,834,0.18635738156084136
Nanjing University of Science & Technology,42,University of California Los Angeles,988,0.18635738156084136
Nanjing University of Science & Technology,42,University of Illinois System,928,0.1859642225280126
Nanjing University of Science & Technology,42,Egyptian Knowledge Bank (EKB),1055,0.1859642225280126
Nanjing University of Science & Technology,42,University of New South Wales Sydney,65,0.18537448397876943
Nanjing University of Science & Technology,42,University College London,825,0.18439158639669748
Nanjing University of Science & Technology,42,White Rose University Consortium,1170,0.1841950068802831
Nanjing University of Science & Technology,42,University System of Ohio,908,0.18321210929821113
Nanjing University of Science & Technology,42,University of Sydney,71,0.17967367800275214
Harbin Institute of Technology,98,Beijing Institute of Technology,2,0.5502260664438766
Harbin Institute of Technology,98,Northwestern Polytechnical University,29,0.5421663062708866
Harbin Institute of Technology,98,Beihang University,18,0.5378415569097701
Harbin Institute of Technology,98,Chinese Academy of Sciences,12,0.46609003341851785
Harbin Institute of Technology,98,Nanjing University of Science & Technology,42,0.4112443483389031
Harbin Institute of Technology,98,Nanjing University of Aeronautics & Astronautics,233,0.4080990760762729
Harbin Institute of Technology,98,Harbin Engineering University,211,0.2989974444662866
Harbin Institute of Technology,98,Tsinghua University,24,0.2976213878513859
Harbin Institute of Technology,98,Peking University,35,0.27816001572636134
Harbin Institute of Technology,98,Shanghai Jiao Tong University,122,0.26656182425791236
Harbin Institute of Technology,98,University of California System,827,0.2636131315116965
Harbin Institute of Technology,98,Centre National de la Recherche Scientifique (CNRS),454,0.2604678592490663
Harbin Institute of Technology,98,Zhejiang University,129,0.2604678592490663
Harbin Institute of Technology,98,Nanjing University,372,0.24926282681344605
Harbin Institute of Technology,98,N8 Research Partnership,837,0.24690387261647337
Harbin Institute of Technology,98,Sun Yat Sen University,181,0.24434833890308633
Harbin Institute of Technology,98,Southeast University - China,410,0.2406133280912129
Harbin Institute of Technology,98,UDICE-French Research Universities,1415,0.23805779437782584
Harbin Institute of Technology,98,University of Chinese Academy of Sciences CAS,830,0.23432278356595243
Harbin Institute of Technology,98,University of Science & Technology of China CAS,983,0.22645960290937686
Harbin Institute of Technology,98,United States Department of Energy (DOE),902,0.22645960290937686
Harbin Institute of Technology,98,Shandong University,148,0.22488696677806175
Harbin Institute of Technology,98,University of London,824,0.22351091016316102
Harbin Institute of Technology,98,National University of Singapore,96,0.21957931983487322
Harbin Institute of Technology,98,Huazhong University of Science & Technology,138,0.21859642225280126
Harbin Institute of Technology,98,Fudan University,246,0.21722036563790054
Harbin Institute of Technology,98,University of Cambridge,617,0.21702378612148615
Harbin Institute of Technology,98,City University of Hong Kong,108,0.21269903676036958
Harbin Institute of Technology,98,Wuhan University,265,0.20994692353056812
Harbin Institute of Technology,98,Helmholtz Association,967,0.20994692353056812
Harbin Institute of Technology,98,Swiss Federal Institutes of Technology Domain,871,0.20758796933359544
Harbin Institute of Technology,98,Dalian University of Technology,72,0.2066050717515235
Harbin Institute of Technology,98,Beijing Normal University,285,0.20404953803813644
Harbin Institute of Technology,98,University of Texas System,832,0.19972478867701987
Harbin Institute of Technology,98,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.19952820916060549
Harbin Institute of Technology,98,State University System of Florida,844,0.19520345979948892
Harbin Institute of Technology,98,Xiamen University,26,0.19304108511893062
Harbin Institute of Technology,98,Max Planck Society,118,0.1914684489876155
Harbin Institute of Technology,98,East China Normal University,582,0.19028897188912916
Harbin Institute of Technology,98,Hunan University,157,0.18871633575781405
Harbin Institute of Technology,98,Harvard University,580,0.1879300176921565
Harbin Institute of Technology,98,University System of Georgia,834,0.18635738156084136
Harbin Institute of Technology,98,University of California Los Angeles,988,0.18635738156084136
Harbin Institute of Technology,98,Egyptian Knowledge Bank (EKB),1055,0.1859642225280126
Harbin Institute of Technology,98,University of Illinois System,928,0.1859642225280126
Harbin Institute of Technology,98,University of New South Wales Sydney,65,0.18537448397876943
Harbin Institute of Technology,98,University College London,825,0.18439158639669748
